time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.0200000000000005,-1.6061504594943687e-07,4.648593526855168e-06,5.000012448230804,5.854877484168242e-06,6.283182662234207,0.0,2.8990851127031353e-06,1.976350321221673e-05,3.0713353294099605e-05,1.0110997707705252e-05,-1.0880578932211336e-05,0.0,403.9295101236818,403.92936329314557,403.9294390938144,403.9295456632951
1.0800000000000005,6.218917901580783e-08,5.9397651893971485e-06,5.00001463931831,6.4465583102801816e-06,6.28318198043722,0.0,4.585913422728774e-06,2.3327800882987816e-05,4.232274984837359e-05,9.361998191402177e-06,-1.2328792241224784e-05,0.0,403.9339484140452,403.9338181036857,403.9339465727185,403.9338788106525
1.1400000000000006,3.9849985141172124e-07,7.455107654956149e-06,5.000016907724177,7.017544943366261e-06,6.283181249454859,0.0,6.688564296945249e-06,2.723299983508524e-05,3.3290892563238124e-05,9.825360108550048e-06,-1.1891509968286914e-05,0.0,403.92686686875373,403.92690658023747,403.9267235706593,403.92676512758607
1.2000000000000006,8.738206074215747e-07,9.214919640961856e-06,5.000018364342328,7.595349775790794e-06,6.2831804981174315,0.0,9.219325369309436e-06,3.14782935431479e-05,1.5263272580680232e-05,9.239484887280802e-06,-1.3783989980112698e-05,0.0,403.92386000498107,403.92368966091516,403.9237086037512,403.923655553523
1.2600000000000007,1.514593843359246e-06,1.1239567938923936e-05,5.000019201354274,8.180086739528747e-06,6.283179684426454,0.0,1.2211318022372505e-05,3.605964777734709e-05,1.2637157950040059e-05,1.075794643826305e-05,-1.3116534337385414e-05,0.0,403.9289697954275,403.9290302922133,403.92895723452267,403.92909391802976
1.3200000000000007,2.3491226531545157e-06,1.3549706191843735e-05,5.000019673340279,8.836476141915739e-06,6.283178910664843,0.0,1.5674356723840736e-05,4.10017210149141e-05,3.0958282262396593e-06,1.1303606093265066e-05,-1.245497750615227e-05,0.0,403.9265876150254,403.92664756479485,403.92663764599007,403.9266865900969
1.3800000000000008,3.4049935338910047e-06,1.6168048774068997e-05,5.0000200270949735,9.49271251471373e-06,6.28317814032391,0.0,1.9587508790033007e-05,4.633454756392653e-05,8.695939062016023e-06,1.0204686916115788e-05,-1.3607372188535666e-05,0.0,403.9318933973669,403.9317897727761,403.93187845596776,403.9317791323427
1.4400000000000008,4.709461542098887e-06,1.9117716571041616e-05,5.000021064414476,1.0052396572035605e-05,6.283177336693544,0.0,2.3965395357500158e-05,5.203881151794645e-05,2.588115998250165e-05,7.574620258765635e-06,-1.2966740490308057e-05,0.0,403.93586372722046,403.93592180055543,403.93584709815656,403.93560974682697
1.5000000000000009,6.290635074457281e-06,2.241900745417276e-05,5.000022641785172,1.0462066544647541e-05,6.283176615688127,0.0,2.8805745938029508e-05,5.804189475299791e-05,2.6697851991553177e-05,5.334087529577763e-06,-1.0116693839679568e-05,0.0,403.93001265867827,403.9302699102094,403.93034877369564,403.93014659932606
1.560000000000001,8.174424921646817e-06,2.6087261681465155e-05,5.000024550322465,1.07083077063308e-05,6.283176034411277,0.0,3.4039058765742744e-05,6.425793671428024e-05,3.691992802910104e-05,1.643557388544777e-06,-8.830394657690973e-06,0.0,403.9333616541009,403.9334778568463,403.9335903381846,403.9332574925687
1.620000000000001,1.038225177772522e-05,3.0132140973770427e-05,5.00002664351161,1.0798982388315892e-05,6.283175484009629,0.0,3.960226715698013e-05,7.057962577839967e-05,3.2853094312605325e-05,1.2465951732773728e-06,-9.859360894902067e-06,0.0,403.9285342613843,403.92844169934165,403.92856811057845,403.9285322835173
1.680000000000001,1.2933769653412532e-05,3.455787115844351e-05,5.0000282497622095,1.0910138168007677e-05,6.28317490223964,0.0,4.549948481660648e-05,7.695282082301938e-05,2.0688745217755024e-05,3.0646756058569106e-06,-9.369751487928134e-06,0.0,403.9256576078773,403.9257019795879,403.9257190471079,403.9258829308648
1.740000000000001,1.5849319541298962e-05,3.9368296659539456e-05,5.000029756886288,1.1095671972327636e-05,6.28317432580479,0.0,5.173515588269315e-05,8.341080238067769e-05,2.954861163752731e-05,3.147343744020732e-06,-1.0082284620677664e-05,0.0,403.9329931660558,403.93292914579763,403.93294363891414,403.9329510204034
1.8000000000000012,1.9149292508814187e-05,4.456948257944813e-05,5.000031785091686,1.1269743435349255e-05,6.283173761177821,0.0,5.831493664302437e-05,8.997788460894002e-05,3.805812677854805e-05,2.408838671813705e-06,-8.066697220865745e-06,0.0,403.9327757553508,403.93295770681095,403.93283516709636,403.932768513355
1.8600000000000012,2.28536656334291e-05,5.016762335524326e-05,5.000034035630162,1.140611592465035e-05,6.283173253522669,0.0,6.520740346913575e-05,9.663905502343071e-05,3.6959835649950824e-05,2.0009222908212e-06,-9.24944282000455e-06,0.0,403.9295437522606,403.92943730847065,403.929603382711,403.929566550302
1.9200000000000013,2.6980724025816575e-05,5.6167753341408135e-05,5.0000352724564125,1.1520827890798557e-05,6.283172747376177,0.0,7.240747139969724e-05,0.00010337551288037298,4.268117758047951e-06,1.7337377709400685e-06,-6.808348431947353e-06,0.0,403.91857545810007,403.9187957596757,403.9187198091338,403.9186956734484
