,rotor 1,rotor 2,rotor 3,rotor 4
50,238.05901859037436,499.022048602199,573.7820703767984,727.0068773486576
51,209.23769678383843,526.4078738781592,577.2134560353917,764.8310593068708
52,369.707288776886,516.5519724511568,432.6790047302786,551.3324618468173
53,350.0774866125678,495.5563047373696,451.80504737822264,547.9485456908004
54,341.0938058709257,478.236666453144,458.6780176225526,552.2632922678083
55,322.75778888745566,480.99806925559307,463.9732052672222,572.6541919607181
56,315.62539662495567,490.54600063193345,465.40536889961766,607.1191291582406
57,304.4501808807574,500.7709550938762,469.0396930365563,638.721938209967
58,283.3025594936513,517.0985723480281,475.3740560083027,683.5030844630353
59,240.74138471857333,542.1088321582262,486.6476674500886,740.4054579253971
60,278.41070440056353,585.1506519249676,448.03538810344145,756.3625949990776
61,283.3201190514249,514.3093105792766,521.1852511170697,654.0848808185618
62,274.8459981880215,465.8612849200711,569.5990453397538,668.5067770440477
63,240.69025743230196,495.074854045194,576.1853610488696,721.7789004830875
64,210.559613761811,521.9290104356637,579.7216045023877,759.8537063943414
65,371.42703140420343,515.875820803135,432.5910856304017,551.1269166861078
66,351.7449210331123,495.68832362209264,452.18149558524124,548.0486835071296
67,343.2366649096805,478.1645001788863,460.1333006738587,553.0304419340819
68,325.2569935200165,479.74976599725517,466.28214076477195,571.8125947877203
69,317.34702812301344,489.47300239474134,466.47267872310863,604.7815014037669
70,306.7395240258615,500.14709027851455,468.7092901640385,636.1303516775008
71,286.85166544283294,516.2857625265152,474.8886427268881,680.9495989436881
72,243.46037970700203,540.2862241110944,487.65488844461015,736.8502778828886
73,280.3901215910156,584.1943666781826,448.1807436266629,752.0999345631183
74,290.89527605487825,509.35903531260504,513.07127765646,645.5130026802523
75,277.6426223435515,460.12515704137746,565.5795493619688,662.2047649866406
76,245.3180822575142,491.7554305750504,573.7476062704251,715.5971803173836
77,216.2704954327768,517.8821617160146,576.5969407115119,754.7766826082961
78,371.20083912166314,515.5446806569379,431.55887949726616,550.9766427298046
79,350.28827332577873,496.02796555394724,452.9922924230398,548.204077114689
